jawaban,jawaban_benar,kebenaran
Kerakyatan yang dipimpin oleh hikmat kebijaksanaan dalam permusyawaratan perwakilan,Kerakyatan yang dipimpin oleh hikmat kebijaksanaan dalam permusyawaratan perwakilan,2
Kerakyatan yang dipimpin oleh hikmat kebijaksanaan dalam permusyawaratan perwakilan,Kerakyatan yang dipimpin oleh hikmat kebijaksanaan dalam permusyawaratan perwakilan,2
Kerakyatan yang dipimpin oleh hikmat kebijaksanaan dalam permusyawaratan perwakilan,Kerakyatan yang dipimpin oleh hikmat kebijaksanaan dalam permusyawaratan perwakilan,2
Kerakyatan yang dipimpin oleh hikmat kebijaksanaan dalam permusyawaratan/peradilan,Kerakyatan yang dipimpin oleh hikmat kebijaksanaan dalam permusyawaratan perwakilan,2
Kerakyatan yang dipimpin hikmat kebijaksanaan dalam permusyawaratan perwakilan,Kerakyatan yang dipimpin oleh hikmat kebijaksanaan dalam permusyawaratan perwakilan,2
Kerakyatan yang dipimpin oleh hikmat kebikjasanaan dalam permusyawaratan perwakilan,Kerakyatan yang dipimpin oleh hikmat kebijaksanaan dalam permusyawaratan perwakilan,2
Kerakyatan yang dipimpin oleh hidmat dalam kebijaksanaan perwakilan.,Kerakyatan yang dipimpin oleh hikmat kebijaksanaan dalam permusyawaratan perwakilan,2
Kerakyatan yang dipimpin oleh hikmat kebijaksanaan dalam permusyawaratan/perwakilan,Kerakyatan yang dipimpin oleh hikmat kebijaksanaan dalam permusyawaratan perwakilan,2
Kerakyatan yang dipimpin oleh hikmat kebijaksanaan dalam permusyawaratan perwakilan,Kerakyatan yang dipimpin oleh hikmat kebijaksanaan dalam permusyawaratan perwakilan,2
Kerakyatan yang dipimpin oleh hikmah kebijaksanaan dalam permusyawaratan perwakilan.,Kerakyatan yang dipimpin oleh hikmat kebijaksanaan dalam permusyawaratan perwakilan,2
Kerakyatan yang dipimpin oleh hikmah kebijaksanaan dalam permusyawaratan perwakilan.,Kerakyatan yang dipimpin oleh hikmat kebijaksanaan dalam permusyawaratan perwakilan,2
Kerakyatan yang dipimpin oleh hikmat kebijaksanaan dalam permusyawaratan/perwakilan,Kerakyatan yang dipimpin oleh hikmat kebijaksanaan dalam permusyawaratan perwakilan,2
Kerakyatan yang dipimpin oleh khidmat kebijaksanaan dalam permusyawaratan perwakilan.,Kerakyatan yang dipimpin oleh hikmat kebijaksanaan dalam permusyawaratan perwakilan,2
Kerakyatan yang dipimpin oleh hikmat kebijaksanaan dalam permusyawaratan perwakilan,Kerakyatan yang dipimpin oleh hikmat kebijaksanaan dalam permusyawaratan perwakilan,2
Kerakyatan... dst.,Kerakyatan yang dipimpin oleh hikmat kebijaksanaan dalam permusyawaratan perwakilan,0
"Taqwa kepada tuhan yang maha esa, ,","Takwa kepada Tuhan yang maha esa, cinta alam dan kasih sayang sesama manusia, suci dalam pikiran, perkataan dan perbuatan",1
"Takwa kepada Tuhan yang maha esa, cinta alam dan kasih sayang sesama manusia, suci dalam pikiran, perkataan dan perbuatan","Takwa kepada Tuhan yang maha esa, cinta alam dan kasih sayang sesama manusia, suci dalam pikiran, perkataan dan perbuatan",2
"Takwa kepada Tuhan Yang Maha Esa, cinta alam dan kasih sayang sesama manusia, suci dalam pikiran perkataan dan perbuatan","Takwa kepada Tuhan yang maha esa, cinta alam dan kasih sayang sesama manusia, suci dalam pikiran, perkataan dan perbuatan",2
"ngga ada pramuka, sekolah di Muhammadiyah adanya hizbul wathan","Takwa kepada Tuhan yang maha esa, cinta alam dan kasih sayang sesama manusia, suci dalam pikiran, perkataan dan perbuatan",0
"Cinta alam dan sesama manusia. 
Patriot dan rela berkoban. 
Suka menolong dan rajin menabung.","Takwa kepada Tuhan yang maha esa, cinta alam dan kasih sayang sesama manusia, suci dalam pikiran, perkataan dan perbuatan",1
Tidak tahu,"Takwa kepada Tuhan yang maha esa, cinta alam dan kasih sayang sesama manusia, suci dalam pikiran, perkataan dan perbuatan",0
"Taqwa kepada Tuhan Yang Maha Esa, Cinta alam dan kasih sayang sesama manusia, rajin menabung dan bersuka cita","Takwa kepada Tuhan yang maha esa, cinta alam dan kasih sayang sesama manusia, suci dalam pikiran, perkataan dan perbuatan",1
menjaga kesucian,"Takwa kepada Tuhan yang maha esa, cinta alam dan kasih sayang sesama manusia, suci dalam pikiran, perkataan dan perbuatan",0
"Bertakwa kepada Tuhan Yang Maha Esa, cinta alam dan kasih sayang sesama manusia, disiplin berani dan setia","Takwa kepada Tuhan yang maha esa, cinta alam dan kasih sayang sesama manusia, suci dalam pikiran, perkataan dan perbuatan",1
"1: Cinta kepada Tuhan yg Maha Esa
2: kasih sayang sesama manusia
10: Bertanggung Jawab dan Dapat dipercaya","Takwa kepada Tuhan yang maha esa, cinta alam dan kasih sayang sesama manusia, suci dalam pikiran, perkataan dan perbuatan",2
